sta,seedchan,net,location
"NLO","EHZ","UW",""
"GLDO","EHZ","UW",""
"NN19","EHZ","UW","01"
"NN21","EHZ","UW","01"
"OSD","EHZ","UW",""
"FL2","EHZ","UW",""
"OT3","EHZ","UW",""
"GUL","EHZ","UW",""
"JUN","EHZ","UW",""
"KMO","EHZ","UW",""
"BLT","EHZ","UW",""
"ET4","EHZ","UW",""
"PAT2","EHZ","UW",""
"RCM","EHZ","UW",""
"HSR","EHZ","UW",""
"HTW","EHZ","UW",""
"JBO","EHZ","UW",""
"JCW","EHZ","UW",""
"NAC","EHZ","UW",""
"WIW","EHZ","UW",""
"UMPQ","EHZ","UW",""
"LO2","EHZ","UW",""
"LOC","EHZ","UW",""
"WPO","EHZ","UW",""
"WRD","EHZ","UW",""
"KOS","EHZ","UW",""
"ETW","EHZ","UW",""
"STAR","EHZ","UW",""
"STAR","EHZ","UW","01"
"BPO","EHZ","UW",""
"VLL","EHZ","UW",""
"SOS","EHZ","UW",""
"RNO","EHZ","UW",""
"IONE","EHZ","UW",""
"OD2","EHZ","UW",""
"VFP","EHZ","UW",""
"VVHS","EHZ","UW",""
"CRF","EHZ","UW",""
"GBL","EHZ","UW",""
"GHW","EHZ","UW",""
"PCFR","EHZ","UW",""
"BVW","EHZ","UW",""
"CDF","EHZ","UW",""
"HOG","EHZ","UW",""
"OCP","EHZ","UW",""
"HBO","EHZ","UW",""
"LKVW","EHZ","UW",""
"ELL","EHZ","UW",""
"CBS","EHZ","UW",""
"RRHS","EHZ","UW",""
"RVC","EHZ","UW",""
"MPO","EHZ","UW",""
"AUG","EHZ","UW",""
"FHE","EHZ","UW",""
"JORV","EHZ","UW",""
"SEP","EHZ","CC",""
"MCW","EHZ","UW",""
"MCW","EHZ","UW","01"
"MBW","EHZ","UW",""
"MBW","EHZ","UW","01"
"GPW","EHZ","UW","01"
"GPW","EHZ","UW",""
"STW","EHZ","UW",""
"TDH","EHZ","UW",""
"GMO","EHZ","UW",""
"EDM","EHZ","UW",""
"SR41","EHZ","CC",""
"DY2","EHZ","UW",""
"BBO","EHZ","UW",""
"VT2","EHZ","UW",""
"AWST","EHZ","CC",""
"UWFH","EHZ","UW",""
"H1K","EHZ","UW",""
"TIMB","EHZ","CC",""
"BHW","EHZ","UW",""
"ELK","EHZ","UW",""
"WIZ","EHZ","CC",""
"CLCV","EHZ","CC",""
"KWBU","EHZ","CC",""
"SUG","EHZ","CC",""
"CLMS","EHZ","CC",""
"PALM","EHZ","CC",""
"GSM","EHZ","UW",""
"GMW","EHZ","UW",""
"WA2","EHZ","UW",""
"UGAP5","EHZ","UW",""
"UGAP6","EHZ","UW",""
"UGAP2","EHZ","UW",""
"UGAP3","EHZ","UW",""
"YA2","EHZ","UW",""
"RPW","EHZ","UW",""
"RPW","EHZ","UW","01"
"RSBO","EHZ","UO",""
"MTM","EHZ","UW",""
"HDW","EHZ","UW",""
"WPW","EHZ","UW",""
"YPT","EHZ","UW",""
"SLF","EHZ","UW",""
"RER","EHZ","UW",""
"RED","EHZ","UW",""
"CRBU","EHZ","CC",""
"SVIC","EHZ","CC",""
"ASR","EHZ","UW",""
"BRV","EHZ","UW",""
"BOW","EHZ","UW",""
"BEN","EHZ","UW",""
"H2O","EHZ","UW",""
"GRUT","EHZ","UW",""
"BLJ","EHZ","UW",""
"RSW","EHZ","UW",""
"EPH2","EHZ","UW",""
"MORO","EHZ","UW",""
"BURN","EHZ","UW",""
"HUSB","EHZ","CC",""
"LNO","EHZ","UW",""
"SVOH","EHZ","UW",""
"BEND","EHZ","UW",""
"PGO","EHZ","UW",""
"MOON","EHZ","UW",""
"OBC","EHZ","UW",""
"HSO","EHZ","UW",""
"RCS","EHZ","UW",""
"RVW","EHZ","UW",""
"VBE","EHZ","UW",""
"OTR","EHZ","UW",""
"WAT","EHZ","UW",""
"WRW","EHZ","UW",""
"LCW","EHZ","UW",""
"SHW","EHZ","UW",""
"SAW","EHZ","UW",""
"NCO","EHZ","UW",""
"VGB","EHZ","UW",""
"NEL","EHZ","UW",""
"SMW","EHZ","UW",""
"TBM","EHZ","UW",""
"TDL","EHZ","UW",""
"TWW","EHZ","UW",""
"HIYU","EHZ","CC",""
"VCR","EHZ","UW",""
"BRO","EHZ","UW",""
"SNI","EHZ","UW",""
"TRW","EHZ","UW",""
"MJ2","EHZ","UW",""
"CPW","EHZ","UW",""
"HWIW","EHZ","UW",""
"SQM","EHZ","UW",""
"PRO","EHZ","UW",""
"FMW","EHZ","UW",""
"FMW","EHZ","UW","01"
"MOX","EHZ","UW",""
"HGBL","EHZ","UW",""
