sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
NLO,EHZ,UW,,46.089241,-123.451729,0.0,,,100.0
GLDO,EHZ,UW,,45.838779,-120.814789,0.0,,,100.0
NN19,EHZ,UW,01,43.7183,-121.306953,240.8,,,125.0
NN21,EHZ,UW,01,43.73317,-121.289879,210.3,,,125.0
OSD,EHZ,UW,,47.816238,-123.705109,0.0,,,100.0
FL2,EHZ,UW,,46.19622,-122.351486,0.0,,,100.0
OT3,EHZ,UW,,46.668861,-119.234131,0.0,,,100.0
GUL,EHZ,UW,,45.924011,-121.596748,0.0,,,100.0
JUN,EHZ,UW,,46.14706,-122.152428,0.0,,,100.0
KMO,EHZ,UW,,45.63533,-123.49073,0.0,,,100.0
BLT,EHZ,UW,,45.915001,-120.176987,0.0,,,100.0
ET4,EHZ,UW,,46.563419,-118.945107,0.0,,,100.0
PAT2,EHZ,UW,,45.883621,-119.757751,0.0,,,100.0
RCM,EHZ,UW,,46.83564,-121.732979,0.0,,,100.0
HSR,EHZ,UW,,46.174278,-122.180649,0.0,,,100.0
HTW,EHZ,UW,,47.803768,-121.768867,0.0,,,100.0
JBO,EHZ,UW,,45.46143,-119.838158,0.0,,,100.0
JCW,EHZ,UW,,48.195332,-121.92746,0.0,,,100.0
NAC,EHZ,UW,,46.733009,-120.824852,0.0,,,100.0
WIW,EHZ,UW,,46.429192,-119.288803,0.0,,,100.0
UMPQ,EHZ,UW,,43.290901,-123.331902,0.0,,,100.0
LO2,EHZ,UW,,46.750599,-121.809601,0.0,,,100.0
LOC,EHZ,UW,,46.716862,-119.431969,0.0,,,100.0
WPO,EHZ,UW,,45.57283,-122.790527,0.0,,,100.0
WRD,EHZ,UW,,46.96986,-119.145958,0.0,,,100.0
KOS,EHZ,UW,,46.462799,-122.196022,0.0,,,100.0
ETW,EHZ,UW,,47.604179,-120.333519,0.0,,,100.0
STAR,EHZ,UW,,46.850849,-121.792953,0.0,,,100.0
STAR,EHZ,UW,01,46.850849,-121.792953,0.0,,,100.0
BPO,EHZ,UW,,44.651749,-121.689842,0.0,,,100.0
VLL,EHZ,UW,,45.463169,-121.680351,0.0,,,100.0
SOS,EHZ,UW,,46.243858,-122.137871,0.0,,,100.0
RNO,EHZ,UW,,43.916199,-123.72496,0.0,,,100.0
IONE,EHZ,UW,,45.498032,-119.827827,0.0,,,100.0
OD2,EHZ,UW,,47.387539,-118.71077,0.0,,,100.0
VFP,EHZ,UW,,45.317902,-121.46627,0.0,,,100.0
VVHS,EHZ,UW,,47.423363,-122.45517,0.0,,,100.0
CRF,EHZ,UW,,46.82486,-119.38813,0.0,,,100.0
GBL,EHZ,UW,,46.598331,-119.459831,0.0,,,100.0
GHW,EHZ,UW,,47.041489,-122.273727,0.0,,,100.0
PCFR,EHZ,UW,,46.98962,-122.442177,0.0,,,100.0
BVW,EHZ,UW,,46.810829,-119.883492,0.0,,,100.0
CDF,EHZ,UW,,46.11689,-122.046227,0.0,,,100.0
HOG,EHZ,UW,,42.243,-121.706268,0.0,,,100.0
OCP,EHZ,UW,,48.297874,-124.62516,0.0,,,100.0
HBO,EHZ,UW,,43.844631,-122.318169,0.0,,,100.0
LKVW,EHZ,UW,,42.224178,-120.359627,0.0,,,100.0
ELL,EHZ,UW,,46.909512,-120.567513,0.0,,,100.0
CBS,EHZ,UW,,47.804691,-120.042847,0.0,,,100.0
RRHS,EHZ,UW,,46.799419,-123.041649,0.0,,,100.0
RVC,EHZ,UW,,46.94408,-121.97419,0.0,,,100.0
MPO,EHZ,UW,,44.50428,-123.553001,0.0,,,100.0
AUG,EHZ,UW,,45.73595,-121.68174,0.0,,,100.0
FHE,EHZ,UW,,46.951778,-119.498093,0.0,,,100.0
JORV,EHZ,UW,,42.977661,-117.053749,0.0,,,100.0
SEP,EHZ,CC,,46.200211,-122.190598,0.0,,,100.0
MCW,EHZ,UW,,48.679001,-122.832603,0.0,,,100.0
MCW,EHZ,UW,01,48.679001,-122.832603,0.0,,,100.0
MBW,EHZ,UW,,48.783798,-121.900902,0.0,,,100.0
MBW,EHZ,UW,01,48.783798,-121.900902,0.0,,,100.0
GPW,EHZ,UW,01,48.117901,-121.137901,0.0,,,100.0
GPW,EHZ,UW,,48.117901,-121.137901,0.0,,,100.0
STW,EHZ,UW,,48.150669,-123.671059,0.0,,,100.0
TDH,EHZ,UW,,45.289669,-121.791519,0.0,,,100.0
GMO,EHZ,UW,,44.438961,-120.957336,0.0,,,100.0
EDM,EHZ,UW,,46.19717,-122.151207,0.0,,,100.0
SR41,EHZ,CC,,46.886681,-121.536644,0.0,,,50.0
DY2,EHZ,UW,,47.985031,-119.772499,0.0,,,100.0
BBO,EHZ,UW,,42.888149,-122.679703,0.0,,,100.0
VT2,EHZ,UW,,46.96719,-120.000328,0.0,,,100.0
AWST,EHZ,CC,,46.14465,-121.771362,0.0,,,50.0
UWFH,EHZ,UW,,48.545929,-123.013237,0.0,,,100.0
H1K,EHZ,UW,,46.64468,-119.592873,0.0,,,100.0
TIMB,EHZ,CC,,45.33572,-121.710358,0.0,,,100.0
BHW,EHZ,UW,,47.836651,-122.033401,0.0,,,100.0
ELK,EHZ,UW,,46.305389,-122.342049,0.0,,,100.0
WIZ,EHZ,CC,,42.934181,-122.149208,0.0,,,100.0
CLCV,EHZ,CC,,42.976139,-122.088882,0.0,,,100.0
KWBU,EHZ,CC,,43.752399,-121.311852,0.0,,,100.0
SUG,EHZ,CC,,46.215549,-122.176262,0.0,,,99.92
CLMS,EHZ,CC,,42.922958,-122.016258,0.0,,,100.0
PALM,EHZ,CC,,45.358574,-121.705536,0.0,,,50.0
GSM,EHZ,UW,,47.20388,-121.796043,0.0,,,100.0
GMW,EHZ,UW,,47.547729,-122.78759,0.0,,,100.0
WA2,EHZ,UW,,46.755192,-119.566811,0.0,,,100.0
UGAP5,EHZ,UW,,46.526619,-120.46553,0.0,,,200.0
UGAP6,EHZ,UW,,46.526619,-120.46637,0.0,,,200.0
UGAP2,EHZ,UW,,46.52602,-120.464043,0.0,,,200.0
UGAP3,EHZ,UW,,46.527641,-120.465637,0.0,,,200.0
YA2,EHZ,UW,,46.52652,-120.531181,0.0,,,100.0
RPW,EHZ,UW,,48.44817,-121.514847,0.0,,,100.0
RPW,EHZ,UW,01,48.44817,-121.514847,0.0,,,100.0
RSBO,EHZ,UO,,44.0434,-122.266998,0.0,,,100.0
MTM,EHZ,UW,,46.02533,-122.212868,0.0,,,100.0
HDW,EHZ,UW,,47.648312,-123.055496,0.0,,,100.0
WPW,EHZ,UW,,46.698639,-121.537338,0.0,,,100.0
YPT,EHZ,UW,,46.04858,-118.963287,0.0,,,100.0
SLF,EHZ,UW,,47.760571,-120.529404,0.0,,,100.0
RER,EHZ,UW,,46.81905,-121.842133,0.0,,,100.0
RED,EHZ,UW,,46.297359,-119.438797,0.0,,,100.0
CRBU,EHZ,CC,,43.559639,-121.709793,0.0,,,50.0
SVIC,EHZ,CC,,43.643082,-121.253273,0.0,,,100.0
ASR,EHZ,UW,,46.152592,-121.601639,0.0,,,100.0
BRV,EHZ,UW,,46.485191,-119.992317,0.0,,,100.0
BOW,EHZ,UW,,46.474831,-123.229301,0.0,,,100.0
BEN,EHZ,UW,,46.518631,-119.718521,0.0,,,100.0
H2O,EHZ,UW,,46.39555,-119.42411,0.0,,,100.0
GRUT,EHZ,UW,,46.55122,-119.510277,0.0,,,100.0
RSW,EHZ,UW,,46.39436,-119.592468,0.0,,,100.0
EPH2,EHZ,UW,,47.3703,-119.611603,0.0,,,100.0
MORO,EHZ,UW,,45.474312,-120.741829,0.0,,,100.0
BURN,EHZ,UW,,43.572929,-119.131332,0.0,,,100.0
HUSB,EHZ,CC,,44.11945,-121.849419,0.0,,,50.0
LNO,EHZ,UW,,45.871761,-118.287071,0.0,,,100.0
SVOH,EHZ,UW,,48.2892,-122.633163,0.0,,,100.0
BEND,EHZ,UW,,44.06673,-121.327797,0.0,,,100.0
PGO,EHZ,UW,,45.461681,-122.454399,0.0,,,100.0
MOON,EHZ,UW,,44.051552,-121.669479,0.0,,,100.0
OBC,EHZ,UW,,48.03511,-124.078819,0.0,,,100.0
HSO,EHZ,UW,,43.525661,-123.091797,0.0,,,100.0
RCS,EHZ,UW,,46.870831,-121.732307,0.0,,,100.0
RVW,EHZ,UW,,46.14975,-122.742996,0.0,,,100.0
VBE,EHZ,UW,,45.060169,-121.588013,0.0,,,100.0
OTR,EHZ,UW,,48.08535,-124.34549,0.0,,,100.0
WAT,EHZ,UW,,47.698521,-119.95517,0.0,,,100.0
WRW,EHZ,UW,,47.856441,-120.88298,0.0,,,100.0
LCW,EHZ,UW,,46.67067,-122.700768,0.0,,,100.0
SHW,EHZ,UW,,46.19347,-122.236351,0.0,,,100.0
SAW,EHZ,UW,,47.70153,-119.401649,0.0,,,100.0
NCO,EHZ,UW,,43.703838,-121.139458,0.0,,,100.0
VGB,EHZ,UW,,45.515511,-120.778671,0.0,,,100.0
NEL,EHZ,UW,,48.07003,-120.34137,0.0,,,100.0
SMW,EHZ,UW,,47.31945,-123.344452,0.0,,,100.0
TBM,EHZ,UW,,47.169849,-120.599182,0.0,,,100.0
TDL,EHZ,UW,,46.35067,-122.217041,0.0,,,100.0
TWW,EHZ,UW,,47.138008,-120.869522,0.0,,,100.0
HIYU,EHZ,CC,,45.43523,-121.807396,0.0,,,50.0
VCR,EHZ,UW,,44.98267,-120.989319,0.0,,,100.0
BRO,EHZ,UW,,44.267208,-122.453163,0.0,,,100.0
SNI,EHZ,UW,,46.46386,-119.660889,0.0,,,100.0
TRW,EHZ,UW,,46.292068,-120.543121,0.0,,,100.0
MJ2,EHZ,UW,,46.557362,-119.36013,0.0,,,100.0
CPW,EHZ,UW,,46.973652,-123.137589,0.0,,,100.0
