sta,seedchan,net,location
"GLDO","EHZ","UW",""
"OSD","EHZ","UW",""
"OT3","EHZ","UW",""
"UMPQ","EHZ","UW",""
"WPO","EHZ","UW",""
"IONE","EHZ","UW",""
"IONE","EHZ","UW",""
"VVHS","EHZ","UW",""
"GHW","EHZ","UW",""
"GHW","EHZ","UW",""
"PCFR","EHZ","UW",""
"HOG","EHZ","UW",""
"HOG","EHZ","UW",""
"OCP","EHZ","UW",""
"LKVW","EHZ","UW",""
"RRHS","EHZ","UW",""
"MPO","EHZ","UW",""
"JORV","EHZ","UW",""
"STW","EHZ","UW",""
"GMO","EHZ","UW",""
"UWFH","EHZ","UW",""
"H1K","EHZ","UW",""
"GSM","EHZ","UW",""
"GMW","EHZ","UW",""
"WA2","EHZ","UW",""
"UGAP2","EHZ","UW",""
"UGAP3","EHZ","UW",""
"YPT","EHZ","UW",""
"H2O","EHZ","UW",""
"GRUT","EHZ","UW",""
"EPH2","EHZ","UW",""
"MORO","EHZ","UW",""
"MORO","EHZ","UW",""
"BURN","EHZ","UW",""
"LNO","EHZ","UW",""
"SVOH","EHZ","UW",""
"BEND","EHZ","UW",""
"PGO","EHZ","UW",""
"HSO","EHZ","UW",""
"VCR","EHZ","UW",""
"MJ2","EHZ","UW",""
"CPW","EHZ","UW",""
"HWIW","EHZ","UW",""
"SQM","EHZ","UW",""
"SQM","EHZ","UW",""
"PRO","EHZ","UW",""
"MOX","EHZ","UW",""
"HGBL","EHZ","UW",""
