sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
GLDO,EHZ,UW,,45.838779,-120.814789,0.0,,,100.0
OSD,EHZ,UW,,47.816238,-123.705109,0.0,,,100.0
OT3,EHZ,UW,,46.668861,-119.234131,0.0,,,100.0
UMPQ,EHZ,UW,,43.290901,-123.331902,0.0,,,100.0
WPO,EHZ,UW,,45.57283,-122.790527,0.0,,,100.0
IONE,EHZ,UW,,45.498032,-119.827827,0.0,,,100.0
IONE,EHZ,UW,,45.498032,-119.827827,0.0,,,100.0
VVHS,EHZ,UW,,47.423363,-122.45517,0.0,,,100.0
GHW,EHZ,UW,,47.041489,-122.273727,0.0,,,100.0
GHW,EHZ,UW,,47.041489,-122.273727,0.0,,,100.0
PCFR,EHZ,UW,,46.98962,-122.442177,0.0,,,100.0
HOG,EHZ,UW,,42.243,-121.706268,0.0,,,100.0
HOG,EHZ,UW,,42.243,-121.706268,0.0,,,100.0
OCP,EHZ,UW,,48.297874,-124.62516,0.0,,,100.0
LKVW,EHZ,UW,,42.224178,-120.359627,0.0,,,100.0
RRHS,EHZ,UW,,46.799419,-123.041649,0.0,,,100.0
MPO,EHZ,UW,,44.50428,-123.553001,0.0,,,100.0
JORV,EHZ,UW,,42.977661,-117.053749,0.0,,,100.0
STW,EHZ,UW,,48.150669,-123.671059,0.0,,,100.0
GMO,EHZ,UW,,44.438961,-120.957336,0.0,,,100.0
UWFH,EHZ,UW,,48.545929,-123.013237,0.0,,,100.0
H1K,EHZ,UW,,46.64468,-119.592873,0.0,,,100.0
GSM,EHZ,UW,,47.20388,-121.796043,0.0,,,100.0
GMW,EHZ,UW,,47.547729,-122.78759,0.0,,,100.0
WA2,EHZ,UW,,46.755192,-119.566811,0.0,,,100.0
UGAP2,EHZ,UW,,46.52602,-120.464043,0.0,,,200.0
UGAP3,EHZ,UW,,46.527641,-120.465637,0.0,,,200.0
YPT,EHZ,UW,,46.04858,-118.963287,0.0,,,100.0
H2O,EHZ,UW,,46.39555,-119.42411,0.0,,,100.0
GRUT,EHZ,UW,,46.55122,-119.510277,0.0,,,100.0
EPH2,EHZ,UW,,47.3703,-119.611603,0.0,,,100.0
MORO,EHZ,UW,,45.474312,-120.741829,0.0,,,100.0
MORO,EHZ,UW,,45.474312,-120.741829,0.0,,,100.0
BURN,EHZ,UW,,43.572929,-119.131332,0.0,,,100.0
LNO,EHZ,UW,,45.871761,-118.287071,0.0,,,100.0
SVOH,EHZ,UW,,48.2892,-122.633163,0.0,,,100.0
BEND,EHZ,UW,,44.06673,-121.327797,0.0,,,100.0
PGO,EHZ,UW,,45.461681,-122.454399,0.0,,,100.0
HSO,EHZ,UW,,43.525661,-123.091797,0.0,,,100.0
VCR,EHZ,UW,,44.98267,-120.989319,0.0,,,100.0
MJ2,EHZ,UW,,46.557362,-119.36013,0.0,,,100.0
CPW,EHZ,UW,,46.973652,-123.137589,0.0,,,100.0
HWIW,EHZ,UW,,46.429169,-119.288963,0.0,,,100.0
SQM,EHZ,UW,,48.073681,-123.048058,0.0,,,100.0
SQM,EHZ,UW,,48.073681,-123.048058,0.0,,,100.0
PRO,EHZ,UW,,46.212521,-119.686813,0.0,,,100.0
MOX,EHZ,UW,,46.577179,-120.299339,0.0,,,100.0
HGBL,EHZ,UW,,46.598007,-119.460815,0.0,,,100.0
