sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
BBB,BHZ,CN,,52.1847,-128.1133,0,,,40.0
BFSB,HHZ,CN,,48.8336,-125.1361,23,,,40.0
BTB,HHZ,CN,,49.4686,-125.5226,1607,,,40.0
CBB,HHZ,CN,,50.0315,-125.3652,277,,,40.0
CLRS,HHZ,CN,,48.8203,-124.1309,174,,,40.0
EDB,BHZ,CN,,49.8731,-127.1216,163,,,40.0
GHNB,HHZ,CN,,49.3065,-124.2364,5,,,40.0
GOBB,HHZ,CN,,48.9495,-123.5105,143,,,40.0
HNBB,HHZ,CN,,49.2873,-122.5729,392,,,40.0
HOLB,HHZ,CN,,50.6402,-128.1331,547,,,40.0
HOPB,HHZ,CN,,49.3873,-121.4205,248,,,40.0
LLLB,HHZ,CN,,50.609,-121.8815,700,,,40.0
MGB,HHZ,CN,,48.9999,-124.697,1310,,,40.0
NLLB,HHZ,CN,,49.2271,-123.9882,199,,,40.0
OZB,BHZ,CN,,48.961,-125.4976,614,,,40.0
PACB,HHZ,CN,,50.4355,-127.4925,24,,,40.0
PFB,HHZ,CN,,48.575,-124.4444,465,,,40.0
PGC,BHZ,CN,,48.6498,-123.4521,12,,,40.0
PHC,HHZ,CN,,50.7067,-127.433,32,,,40.0
PNT,HHZ,CN,,49.3224,-119.6254,531,,,40.0
PTRF,HHZ,CN,,48.5442,-124.4131,164,,,40.0
SHB,BHZ,CN,,49.5985,-123.8771,1129,,,40.0
SNB,HHZ,CN,,48.7751,-123.1723,402,,,40.0
SPLB,HHZ,CN,,49.8921,-125.6526,276,,,40.0
SYMB,HHZ,CN,,48.5593,-123.7989,945,,,40.0
TOFB,HHZ,CN,,49.1543,-125.9078,13,,,40.0
VGZ,HHZ,CN,,48.4131,-123.3251,67,,,40.0
WOSB,HHZ,CN,,50.1607,-126.5704,955,,,40.0
WSLR,BHZ,CN,,50.1265,-122.9212,906,,,40.0
(29 rows)
