sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
KBO,HHZ,NC,,42.212357,-124.225983,1010,,,40.0
KCPB,HHZ,NC,,39.68631,-123.58242,1261,,,40.0
KEB,HHZ,NC,,42.872211,-124.334251,818,,,40.0
KHBB,HHZ,NC,,40.659901,-123.219658,1864,,,40.0
KHMB,HHZ,NC,,40.874832,-123.732498,1495,,,40.0
KMPB,HHZ,NC,,40.417194,-124.120758,938,,,40.0
KMR,HHZ,NC,,40.202175,-123.708633,915,,,40.0
KRMB,HHZ,NC,,41.522957,-123.907974,1266,,,40.0
KRP,HHZ,NC,,41.157654,-124.0233,813,,,40.0
KSXB,HHZ,NC,,41.830379,-123.876884,1136,,,40.0
LMC,HHZ,NC,,41.274158,-122.121971,1062,,,40.0
