sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate,desc,inst_id
J67C,BHZ,7D,—,48.151,-127.0868,-2581,2013/08/05 (217) 00:00:00,2014/05/19 (139) 23:59:59,50,WHOI OBS ID S80,2
J43C,BHZ,7D,—,46.137,-126.1725,-2645,2013/08/09 (221) 00:00:00,2014/05/19 (139) 23:59:59,50,WHOI OBS ID T111,2
J35C,BHZ,7D,—,45.4995,-126.2683,-2655,2013/08/09 (221) 00:00:00,2014/05/19 (139) 23:59:59,50,WHOI OBS ID T114,2
J73C,BHZ,7D,—,48.7679,-126.1926,-133,2013/08/19 (231) 16:50:00,2014/05/30 (150) 11:59:00,50,SIO OBS ID J73C,3
M04C,BHZ,7D,—,45.5584,-125.1923,-570,2013/08/19 (231) 00:31:00,2014/05/29 (149) 21:05:12,50,SIO OBS ID M04C,3
J65C,BHZ,7D,—,47.8913,-125.1398,-169,2013/08/19 (231) 01:32:00,2014/05/29 (149) 23:45:59,50,SIO OBS ID J65C,3
M02C,BHZ,7D,—,48.3069,-125.6012,-141,2013/08/19 (231) 15:48:00,2014/05/30 (150) 08:04:00,50,SIO OBS ID M02C,3
M03C,BHZ,7D,—,47.8884,-126.1046,-1839,2013/08/19 (231) 16:13:00,2014/05/30 (150) 04:45:00,50,SIO OBS ID M03C,3
M01C,BHZ,7D,—,49.1504,-126.7222,-138,2013/08/19 (231) 20:08:00,2014/05/30 (150) 19:32:58,50,SIO OBS ID M01C,3
J68C,BHZ,7D,—,48.4811,-127.8293,-2587,2013/08/20 (232) 10:02:00,2014/05/31 (151) 02:07:59,50,SIO OBS ID J68C,3
M07C,BHZ,7D,—,44.8988,-125.1168,-1365,2013/08/21 (233) 21:25:00,2014/06/01 (152) 10:25:58,50,SIO OBS ID M07C,3
M08C,BHZ,7D,—,44.1185,-124.8954,-131,2013/08/21 (233) 21:39:00,2014/06/01 (152) 15:01:59,50,SIO OBS ID M08C,3
J25C,BHZ,7D,—,44.473,-124.6217,-144,2013/08/22 (234) 03:28:00,2014/06/01 (152) 17:43:56,50,SIO OBS ID J25C,3
J33C,BHZ,7D,—,45.1068,-124.5708,-354,2013/08/22 (234) 03:44:00,2014/05/29 (149) 00:34:00,50,SIO OBS ID J33C,3
J41C,HHZ,7D,—,45.8117,-124.5376,-171,2013/08/30 (242) 18:52:00,2014/06/24 (175) 21:54:54,125,LDEO OBS TRAWL-RESISTANT,1
J49C,HHZ,7D,—,46.438,-124.4278,-113,2013/08/31 (243) 06:57:00,2014/06/29 (180) 05:40:27,125,LDEO OBS TRAWL-RESISTANT,1
FN19C,HHZ,7D,—,46.7301,-124.3668,-72,2013/08/31 (243) 12:22:00,2014/06/28 (179) 23:39:05,125,LDEO OBS TRAWL-RESISTANT,1
FN01C,HHZ,7D,—,46.8823,-124.3333,-56,2013/08/31 (243) 16:14:00,2014/06/27 (178) 05:00:17,125,LDEO OBS TRAWL-RESISTANT,1
FN02C,HHZ,7D,—,46.9497,-124.428,-67,2013/08/31 (243) 20:23:00,2014/06/28 (179) 19:03:07,125,LDEO OBS TRAWL-RESISTANT,1
FN03C,HHZ,7D,—,46.8872,-124.5251,-93,2013/09/01 (244) 08:28:00,2014/06/28 (179) 21:50:45,125,LDEO OBS TRAWL-RESISTANT,1
FN04C,HHZ,7D,—,46.9175,-124.6013,-104,2013/09/01 (244) 11:56:00,2014/06/26 (177) 01:52:11,125,LDEO OBS TRAWL-RESISTANT,1
