sta,chan,net,loc,lat,lon,depth,on_date,off_date,rate
ORV,BHZ,BK,00,39.554508,-121.500359,3.0,,,20.0
SHEP,HHZ,BK,00,41.7826,-121.839302,0.0,,,100.0
JCC,HHZ,BK,00,40.817451,-124.029549,0.0,,,80.0
MOD,HHZ,BK,00,41.902458,-120.302948,5.0,,,80.0
YBH,HHZ,BK,00,41.73204,-122.710388,60.4,,,80.0
SWF2,BHZ,CC,--,46.178322,-122.216743,0.0,,,50.0
OBSR,BHZ,CC,--,46.899719,-121.815331,0.0,,,50.0
SHRK,BHZ,CC,--,45.464317,-121.52877,0.0,,,50.0
STD,BHZ,CC,--,46.23761,-122.223961,0.0,,,50.0
JRO,BHZ,CC,--,46.275101,-122.217796,0.0,,,50.0
CLBH,BHZ,CC,--,42.907745,-122.143494,0.0,,,50.0
CIHL,BHZ,CC,--,43.750969,-121.148621,0.0,,,50.0
TMBU,BHZ,CC,--,43.601891,-121.144508,0.0,,,50.0
ASBU,BHZ,CC,--,43.82056,-121.368401,0.0,,,50.0
SWNB,BHZ,CC,--,43.672741,-121.355347,0.0,,,50.0
TCBU,BHZ,CC,--,44.240829,-121.664383,0.0,,,50.0
PANH,BHZ,CC,--,46.859001,-121.642609,0.0,,,50.0
WIFE,BHZ,CC,--,44.059662,-121.817459,0.0,,,50.0
SEP,EHZ,CC,--,46.200211,-122.190598,0.0,,,100.0
SUG,EHZ,CC,--,46.215549,-122.176262,0.0,,,99.92
HIYU,EHZ,CC,--,45.43523,-121.807396,0.0,,,50.0
SVIC,EHZ,CC,--,43.643082,-121.253273,0.0,,,100.0
TIMB,EHZ,CC,--,45.33572,-121.710358,0.0,,,100.0
CLCV,EHZ,CC,--,42.976139,-122.088882,0.0,,,100.0
PALM,EHZ,CC,--,45.358574,-121.705536,0.0,,,50.0
SR41,EHZ,CC,--,46.886681,-121.536644,0.0,,,50.0
WIZ,EHZ,CC,--,42.934181,-122.149208,0.0,,,100.0
KWBU,EHZ,CC,--,43.752399,-121.311852,0.0,,,100.0
CRBU,EHZ,CC,--,43.559639,-121.709793,0.0,,,50.0
CLMS,EHZ,CC,--,42.922958,-122.016258,0.0,,,100.0
COR,BHZ,IU,0,44.585499,-123.304604,0.0,,,20.0
GCK,EHZ,NC,--,39.543755,-122.436684,0.0,,,100.0
NC27,HHZ,NV,--,47.762299,-127.757896,0.0,,,100.0
NCBC,HHZ,NV,--,48.427502,-126.175201,0.0,,,100.0
KEMF,EHZ,NV,--,47.948898,-129.098801,0.0,,,100.0
